Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","7,079,000","7,079,000","11,466,000","8,671,000","6,662,000","5,954,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,439,000","2,439,000","8,916,000","11,900,000","9,172,000","12,622,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,518,000","9,518,000","20,382,000","20,571,000","15,834,000","18,576,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,518,000","-9,518,000","-20,382,000","-20,571,000","-15,834,000","-18,576,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"348,000","348,000","220,000","4,000","12,000","77,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"305,000","305,000","5,761,000","3,492,000","-543,000","4,869,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,865,000","-8,865,000","-14,401,000","-17,075,000","-16,365,000","-13,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-56,000","-56,000",-,-,"-73,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,"-1,936,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"289,000","289,000",-,-,"544,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,632,000","-8,632,000","-16,337,000","-17,075,000","-15,894,000","-13,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-8,632,000","-8,632,000","-16,337,000","-17,075,000","-15,894,000","-13,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-8,632,000","-8,632,000","-16,337,000","-17,075,000","-15,894,000","-13,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,632,000","-8,632,000","-16,337,000","-17,075,000","-15,894,000","-13,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,632,000","-8,632,000","-16,337,000","-17,075,000","-15,894,000","-13,630,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"810,113","810,113","753,615","664,330","576,156","435,339",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"810,113","810,113","753,615","683,210","576,156","437,117",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.497%,7.497%,10.305%,18.581%,31.808%,18.202%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-10.655,-10.655,-21.678,-25.703,-27.586,-31.309,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-10.660,-10.660,-29.323,-30.103,-27.586,-42.320,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,564,000","-8,564,000","-21,128,000","-14,186,000","-14,792,000","-15,405,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-10.571,-10.571,-28.036,-20.764,-25.674,-35.242,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-9,391,000","-9,391,000","-19,334,000","-19,477,000","-14,657,000","-17,304,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"127,000","127,000","1,048,000","1,094,000","1,177,000","1,272,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-9,518,000","-9,518,000","-20,382,000","-20,571,000","-15,834,000","-18,576,000",Upgrade,Financials in USD,Fiscal year is January - December
